"twitter_id","author_id","gender","age_range","ideological_binary","ideological_multiclass","split_author_profiling","split_author_attribution","source"
"1331533182336966656","@user209","male","35-49","right","moderate_right","nan","test","twitter"
"1275509349020991489","@user198","female","35-49","right","moderate_right","nan","val","twitter"
"1286782422949003264","@user50","female","50-64","left","moderate_left","nan","test","twitter"
"1293485347263913984","@user191","female","50-64","right","moderate_right","nan","test","twitter"
"1278980270675431424","@user98","male","25-34","right","moderate_right","nan","test","twitter"
"1288372713548062721","@user21","female","25-34","left","left","test","nan","twitter"
"1268448778463436806","@user164","male","35-49","left","moderate_left","train","train","twitter"
"1283296072341782528","@user50","female","50-64","left","moderate_left","nan","test","twitter"
"1266312622640697346","@user244","female","35-49","left","moderate_left","val","nan","twitter"
"1275691936016478209","@user78","female","over-65","left","moderate_left","val","nan","twitter"
"1283881750360477696","@user67","female","35-49","right","right","train","train","twitter"
"1222419724107206657","@user3","female","50-64","left","left","train","train","twitter"
"1240616164499361794","@user238","male","50-64","left","left","val","nan","twitter"
"1219383249627222018","@user144","female","35-49","left","moderate_left","val","nan","twitter"
"1213762914202591232","@user38","male","35-49","right","moderate_right","test","nan","twitter"
"1214187721905901574","@user147","male","50-64","left","moderate_left","train","train","twitter"
"1216336010679934976","@user96","male","25-34","left","moderate_left","val","nan","twitter"
"1285609329274556416","@user3","female","50-64","left","left","nan","test","twitter"
"1285516693222109184","@user75","female","25-34","left","left","nan","test","twitter"
"1265962817154408448","@user4","female","35-49","right","moderate_right","test","nan","twitter"
"1302227643245436928","@user220","female","50-64","right","moderate_right","train","train","twitter"
"1315981975006720000","@user170","male","35-49","left","left","test","nan","twitter"
"1267006252716109824","@user217","female","35-49","right","moderate_right","val","nan","twitter"
"1227683664328306688","@user151","male","35-49","right","moderate_right","train","train","twitter"
"1252598420193325057","@user87","male","over-65","left","moderate_left","train","train","twitter"
"1262354328775524354","@user232","female","35-49","left","left","train","train","twitter"
"1282631748803854336","@user162","male","35-49","left","moderate_left","nan","val","twitter"
"1292116736628727808","@user132","male","50-64","left","left","nan","test","twitter"
"1250355009058979840","@user136","male","35-49","left","left","train","train","twitter"
"1224836958758801410","@user5","male","35-49","right","moderate_right","val","nan","twitter"
"1295026936218034178","@user66","female","35-49","right","moderate_right","train","train","twitter"
"1252595582423662599","@user87","male","over-65","left","moderate_left","train","train","twitter"
"1261317730457858050","@user112","male","35-49","right","moderate_right","train","train","twitter"
"1272842744675946496","@user258","female","50-64","left","left","val","nan","twitter"
"1274313865409564673","@user4","female","35-49","right","moderate_right","test","nan","twitter"
"1273552310136963072","@user108","female","35-49","right","right","train","train","twitter"
"1228241510979833856","@user82","female","35-49","right","moderate_right","train","train","twitter"
"1314084518509371392","@user117","male","35-49","left","moderate_left","val","nan","twitter"
"1331591247115464707","@user223","female","50-64","right","moderate_right","nan","val","twitter"
"1326114514165780480","@user209","male","35-49","right","moderate_right","nan","test","twitter"
"1256141332386590722","@user258","female","50-64","left","left","val","nan","twitter"
"1289170377323626496","@user192","female","50-64","left","moderate_left","nan","test","twitter"
"1219665962175209478","@user167","male","35-49","left","left","train","train","twitter"
"1235123507614359554","@user74","female","25-34","left","left","train","train","twitter"
"1222537384799166465","@user179","female","35-49","left","moderate_left","test","nan","twitter"
"1213817707092742149","@user131","male","35-49","right","moderate_right","train","train","twitter"
"1308745562792001537","@user167","male","35-49","left","left","nan","val","twitter"
"1276763138768228352","@user236","male","50-64","right","right","nan","val","twitter"
"1227637488728014849","@user190","male","25-34","right","moderate_right","test","nan","twitter"
"1266327518388326401","@user207","male","50-64","left","moderate_left","test","nan","twitter"
"1226047222653034496","@user259","male","over-65","left","left","train","train","twitter"
"1243510665404440584","@user265","male","over-65","left","left","train","train","twitter"
"1230169614312710146","@user28","male","50-64","right","moderate_right","train","train","twitter"
"1322103366865113088","@user75","female","25-34","left","left","nan","val","twitter"
"1243520558517628928","@user164","male","35-49","left","moderate_left","train","train","twitter"
"1329125875607101441","@user239","male","25-34","left","left","nan","val","twitter"
"1294594554692358145","@user259","male","over-65","left","left","nan","val","twitter"
"1214618501186498562","@user250","male","25-34","right","right","test","nan","twitter"
"1323668507142344705","@user51","male","35-49","right","moderate_right","nan","val","twitter"
"1264186341287436289","@user177","male","35-49","left","moderate_left","val","nan","twitter"
"1294338825632788487","@user60","male","35-49","right","moderate_right","nan","test","twitter"
"1287736824195162112","@user54","male","50-64","left","left","train","train","twitter"
"1303614515360264198","@user43","female","35-49","right","moderate_right","val","nan","twitter"
"1232241969474285568","@user135","male","35-49","left","moderate_left","train","train","twitter"
"1259065495329951744","@user218","male","50-64","right","right","train","train","twitter"
"1259428969289482241","@user53","male","35-49","right","moderate_right","train","train","twitter"
"1315560407503953922","@user113","male","25-34","right","moderate_right","nan","val","twitter"
"1243152970142883840","@user64","female","25-34","right","right","test","nan","twitter"
"1258091267801694208","@user30","male","50-64","right","moderate_right","train","train","twitter"
"1266974326496034822","@user187","male","50-64","left","moderate_left","train","train","twitter"
"1285847269502320641","@user134","female","35-49","left","moderate_left","nan","test","twitter"
"1213715187200667649","@user165","male","50-64","right","moderate_right","test","nan","twitter"
"1258089857206886411","@user16","male","50-64","left","moderate_left","val","nan","twitter"
"1278275208403652608","@user90","male","50-64","right","moderate_right","nan","test","twitter"
"1288370438901510144","@user242","male","35-49","left","moderate_left","nan","val","twitter"
"1215551886775943168","@user3","female","50-64","left","left","train","train","twitter"
"1323194294631542785","@user188","male","35-49","right","moderate_right","nan","val","twitter"
"1235594569632215041","@user247","male","35-49","left","left","val","nan","twitter"
"1297480950629175296","@user103","female","35-49","left","left","nan","test","twitter"
"1326537063601106949","@user30","male","50-64","right","moderate_right","nan","test","twitter"
"1262771670730883074","@user134","female","35-49","left","moderate_left","train","train","twitter"
"1317012444997427200","@user99","male","35-49","left","moderate_left","nan","test","twitter"
"1222067801554391041","@user49","female","50-64","right","moderate_right","train","train","twitter"
"1249418618900807682","@user134","female","35-49","left","moderate_left","train","train","twitter"
"1245989990066196482","@user124","male","35-49","right","moderate_right","test","nan","twitter"
"1326940050932830210","@user220","female","50-64","right","moderate_right","nan","test","twitter"
"1255064617098850304","@user212","male","35-49","left","moderate_left","val","nan","twitter"
"1234844378751021058","@user75","female","25-34","left","left","train","train","twitter"
"1283679895181234182","@user121","male","50-64","right","moderate_right","val","nan","twitter"
"1273158325962760193","@user93","male","50-64","left","moderate_left","train","train","twitter"
"1304069165775454209","@user36","female","50-64","right","moderate_right","nan","val","twitter"
"1317231059625517062","@user221","male","35-49","right","right","nan","test","twitter"
"1270082111001759746","@user97","female","25-34","left","left","train","train","twitter"
"1280494216112635911","@user171","female","35-49","left","moderate_left","test","nan","twitter"
"1264999926750117889","@user145","female","35-49","left","moderate_left","val","nan","twitter"
"1297495289708912640","@user232","female","35-49","left","left","nan","test","twitter"
"1214568978825252864","@user60","male","35-49","right","moderate_right","train","train","twitter"
"1311949131582263296","@user100","female","25-34","right","moderate_right","nan","val","twitter"
"1278596936430497797","@user104","female","50-64","left","left","val","nan","twitter"
"1327325927714516994","@user213","female","35-49","right","right","nan","val","twitter"
"1250357223567642625","@user216","female","35-49","right","right","train","train","twitter"
"1315374693973712896","@user161","male","35-49","right","right","test","nan","twitter"
"1295391216452894722","@user43","female","35-49","right","moderate_right","val","nan","twitter"
"1306930079726014464","@user255","male","over-65","left","moderate_left","nan","val","twitter"
"1255556571788181506","@user116","male","50-64","right","moderate_right","train","train","twitter"
"1309088911654875137","@user109","female","50-64","right","moderate_right","val","nan","twitter"
"1287349160853766145","@user254","female","35-49","right","moderate_right","test","nan","twitter"
"1247774753789632516","@user51","male","35-49","right","moderate_right","train","train","twitter"
"1270705638360985601","@user266","female","35-49","left","moderate_left","val","nan","twitter"
"1295736940680052736","@user213","female","35-49","right","right","nan","val","twitter"
"1272257036567412740","@user269","female","50-64","left","moderate_left","train","train","twitter"
"1269200371886456832","@user29","male","50-64","right","right","train","train","twitter"
"1221047589702905856","@user89","male","50-64","left","moderate_left","test","nan","twitter"
"1331546459452403712","@user214","male","50-64","right","moderate_right","nan","val","twitter"
"1332727990682341376","@user150","male","35-49","right","right","nan","test","twitter"
"1288374563496177664","@user254","female","35-49","right","moderate_right","test","nan","twitter"
"1215261635797028865","@user81","male","35-49","left","left","train","train","twitter"
"1213754159415136256","@user267","female","25-34","right","right","train","train","twitter"
"1258342533463257089","@user164","male","35-49","left","moderate_left","train","train","twitter"
"1287109784781631491","@user145","female","35-49","left","moderate_left","val","nan","twitter"
"1244937426289688577","@user53","male","35-49","right","moderate_right","train","train","twitter"
"1286034601182461952","@user249","female","35-49","right","moderate_right","nan","val","twitter"
"1218165411000324096","@user256","female","50-64","right","moderate_right","train","train","twitter"
"1330797841527300096","@user126","male","25-34","left","moderate_left","nan","test","twitter"
"1247163357012033536","@user139","female","35-49","left","left","test","nan","twitter"
"1237824277895929858","@user207","male","50-64","left","moderate_left","test","nan","twitter"
"1279717280155422720","@user203","male","50-64","left","left","test","nan","twitter"
"1288228276226449414","@user172","male","35-49","right","moderate_right","nan","val","twitter"
"1267420642242113536","@user51","male","35-49","right","moderate_right","train","train","twitter"
"1219567459939835904","@user179","female","35-49","left","moderate_left","test","nan","twitter"
"1318879269477601282","@user219","male","35-49","left","moderate_left","nan","test","twitter"
"1247443083509317632","@user10","female","over-65","left","moderate_left","train","train","twitter"
"1306647181416427520","@user37","male","35-49","left","left","train","train","twitter"
"1229838637879218178","@user42","female","over-65","left","left","train","train","twitter"
"1214204498157146112","@user82","female","35-49","right","moderate_right","train","train","twitter"
"1293228552251486208","@user44","female","50-64","left","left","nan","val","twitter"
"1278019765274116096","@user134","female","35-49","left","moderate_left","nan","val","twitter"
"1281693701597802497","@user150","male","35-49","right","right","nan","val","twitter"
"1318816430981251078","@user222","female","50-64","left","moderate_left","test","nan","twitter"
"1237645628181581824","@user46","female","35-49","right","moderate_right","test","nan","twitter"
"1239645229000658947","@user89","male","50-64","left","moderate_left","test","nan","twitter"
"1267572285818404864","@user234","male","50-64","right","right","test","nan","twitter"
"1331962105956806663","@user83","male","25-34","right","moderate_right","nan","test","twitter"
"1316770569178750983","@user181","male","50-64","right","right","test","nan","twitter"
"1226835233753796608","@user137","male","50-64","left","moderate_left","train","train","twitter"
"1231590257860239361","@user65","female","35-49","left","moderate_left","test","nan","twitter"
"1235640579784151040","@user33","female","50-64","left","left","train","train","twitter"
"1212458751111966725","@user195","female","50-64","left","moderate_left","test","nan","twitter"
"1242158271424868353","@user52","female","50-64","left","moderate_left","train","train","twitter"
"1243163334138114048","@user11","female","35-49","right","moderate_right","train","train","twitter"
"1280884999202451458","@user186","female","50-64","right","right","nan","test","twitter"
"1243863351320551425","@user45","female","35-49","right","moderate_right","train","train","twitter"
"1305743847411064832","@user222","female","50-64","left","moderate_left","test","nan","twitter"
"1220763037034012672","@user99","male","35-49","left","moderate_left","train","train","twitter"
"1257982046166814721","@user204","male","50-64","left","moderate_left","test","nan","twitter"
"1286800781111369729","@user151","male","35-49","right","moderate_right","nan","val","twitter"
"1226483539773984768","@user208","male","50-64","left","moderate_left","test","nan","twitter"
"1291296885978927106","@user43","female","35-49","right","moderate_right","val","nan","twitter"
"1214307036219027456","@user146","male","50-64","right","moderate_right","val","nan","twitter"
"1285200289012879360","@user3","female","50-64","left","left","nan","test","twitter"
"1239986243707994120","@user180","male","50-64","left","moderate_left","train","train","twitter"
"1239483275124584448","@user233","female","35-49","right","moderate_right","test","nan","twitter"
"1248146757730668545","@user144","female","35-49","left","moderate_left","val","nan","twitter"
"1278577863395082240","@user45","female","35-49","right","moderate_right","nan","test","twitter"
"1242826101979852802","@user146","male","50-64","right","moderate_right","val","nan","twitter"
"1250905006078902274","@user244","female","35-49","left","moderate_left","val","nan","twitter"
"1283680296722997249","@user85","female","35-49","right","moderate_right","nan","val","twitter"
"1213792259080163329","@user27","male","35-49","left","moderate_left","train","train","twitter"
"1213739352305606657","@user118","male","35-49","right","moderate_right","train","train","twitter"
"1311696753180250112","@user10","female","over-65","left","moderate_left","nan","test","twitter"
